設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
18,1,セキュリティ,独自のルート証明書の自動再登録の可否,-,自動的に再登録する,"1. アドオン「Cert Importer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.certimporter.allowRegisterAgain"", true);",変更無し,"lockPref(""extensions.certimporter.allowRegisterAgain"", true);"
18,2,,,,自動的に再登録しない（既定）,"1. アドオン「Cert Importer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.certimporter.allowRegisterAgain"", false);",変更無し,"lockPref(""extensions.certimporter.allowRegisterAgain"", false);"
19,1,セキュリティ,アドオンのインストールの可否,○,確認の上で許可する（既定）,-,,,
19,2,,,,特定サイトのみ許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する",-,,
19,3,,,,禁止する,"1. アドオン「Disable Add-ons」を導入する
2. アドオン「Permission Auto Registerer」を導入する
3. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.addons.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.update.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.getpersonas.com"", ""install=0"");",,
19,4,,,,禁止するが、設定の変更は許可する,"1. アドオン「Disable Add-ons」を導入する
2. MCDで設定を反映する","lockPref(""extensions.disableaddons@clear-code.com.disable.manager"", false);",,
20,1,セキュリティ,広告などのポップアップの表示の可否,○,確認の上で許可する（既定）,-,,,
20,2,,,,特定サイトのみ確認無しで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""popup=1"");",,
20,3,,,,すべて確認無しで許可する,MCDで設定を反映する,"lockPref(""dom.disable_open_during_load"", false);",変更無し,"lockPref(""dom.disable_open_during_load"", false);"
20,4,,,,禁止する,-,"MCDで
lockPref(""dom.disable_open_during_load"", true);
と設定した上で、「UI・キーボードショートカット無効化項目一覧」に従いUIを無効化",変更無し,"lockPref(""dom.disable_open_during_load"", true);"
21,1,セキュリティ,攻撃サイトに対する警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""browser.safebrowsing.malware.enabled"", true);",変更無し,"lockPref(""browser.safebrowsing.malware.enabled"", true);"
21,2,,,,警告しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.safebrowsing.enabled"", false);
lockPref(""browser.safebrowsing.malware.enabled"", false);
lockPref(""browser.safebrowsing.gethashURL"", """");
lockPref(""browser.safebrowsing.keyURL"", """");
lockPref(""browser.safebrowsing.malware"", """");
lockPref(""browser.safebrowsing.malware.reportURL"", """");
lockPref(""browser.safebrowsing.reportErrorURL"", """");
lockPref(""browser.safebrowsing.reportGenericURL"", """");
lockPref(""browser.safebrowsing.reportMalwareErrorURL"", """");
lockPref(""browser.safebrowsing.reportMalwareURL"", """");
lockPref(""browser.safebrowsing.reportPhishURL"", """");
lockPref(""browser.safebrowsing.reportURL"", """");
lockPref(""browser.safebrowsing.updateURL"", """");
lockPref(""browser.safebrowsing.warning.infoURL"", """");
lockPref(""browser.safebrowsing.appRepURL"", """");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addonsPhishingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.safebrowsing.malware.enabled"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #addonsPhishingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
22,1,セキュリティ,偽装サイトに対する警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""browser.safebrowsing.enabled"", true);",変更無し,"lockPref(""browser.safebrowsing.enabled"", true);"
22,2,,,,警告しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.safebrowsing.enabled"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addonsPhishingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.safebrowsing.enabled"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #addonsPhishingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
23,1,セキュリティ,Javaプラグインの有効・無効の制御,-,常に無効化する,"1. アドオン「Force Addon Status」を導入する
2. MCDで設定を反映する","lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java\\(TM\\)"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.status"", false);
lockPref(""extensions.force-addon-status@clear-code.com.plugins.1.pattern"", ""^Java "");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.1.status"", false);"
23,2,,,,常に有効化する,"1. アドオン「Force Addon Status」を導入する
2. MCDで設定を反映する","lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,
23,3,,,,クリックされたら有効にする（既定）,"1. アドオン「Force Addon Status」を導入する
2. MCDで設定を反映する","lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,
24,1,セキュリティ,プラグインのインストールの可否,-,許可する（既定）,-,-,,
24,2,,,,一切禁止する,MCDで設定を反映する,"/*
プラグインのインストール機能自体が廃止されたため、設定自体が不要となっている。
https://wiki.mozilla.org/PFS
https://bugzilla.mozilla.org/show_bug.cgi?id=836415
http://hg.mozilla.org/mozilla-central/rev/d1ae4274cf8b
*/
// プラグインのインストール情報、更新情報の取得元URL
lockPref(""pfs.datasource.url"", """");
lockPref(""plugins.update.url"", """");
lockPref(""plugins.hide_infobar_for_missing_plugin"", true);",変更無し,"lockPref(""plugins.hide_infobar_for_missing_plugin"", true);
lockPref(""plugins.hide_infobar_for_outdated_plugin"", true);"
25,1,セキュリティ,about:***の利用の可否,-,許可する（既定）,-,-,,
25,2,,,,禁止する,"1. アドオン「Disable About Something」を導入する
2. MCDで設定を反映する","lockPref(""extensions.disable-about-something@clear-code.com.about.（サフィックス）"",  false);",変更無し,"lockPref(""extensions.disable-about-something@clear-code.com.about.（サフィックス）"",  false);"
26,1,セキュリティ,about:configの利用の可否,-,許可する（既定）,-,-,,
26,2,,,,禁止する,アドオン「Disable about:config」を導入する,-,変更無し,-
27,1,セキュリティ,エラーコンソールの利用の可否,-,許可する,MCDで設定を反映する,"lockPref(""devtools.errorconsole.enabled"", true);",変更無し,"lockPref(""devtools.errorconsole.enabled"", true);"
27,2,,,,禁止する（既定）,MCDで設定を反映する,"lockPref(""devtools.errorconsole.enabled"", false);",変更無し,"lockPref(""devtools.errorconsole.enabled"", false);"
28,1,セキュリティ,SNS連携機能の利用の可否,-,許可する（既定）,-,-,,
28,2,,,,禁止する,MCDで設定を反映する,"lockPref(""social.enabled"", false);
lockPref(""social.directories"", """");
lockPref(""social.whitelist"", """");
lockPref(""social.shareDirectory"", """");",,
29,1,セキュリティ,JavaScriptの実行の可否,○,許可する（既定）,MCDで設定を反映する,"lockPref(""javascript.enabled"", true);",,
29,2,,,,特定サイトのみ許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","pref(""capability.policy.trusted.sites"", ""(sites)"");
pref(""capability.policy.trusted.javascript.enabled"", ""allAccess"");
または
pref(""extensions.autopermission.policy.trusted.sites"", ""(sites)"");
pref(""extensions.autopermission.policy.trusted.javascript"",     1);",,
29,3,,,,禁止する,MCDで設定を反映する,"lockPref(""javascript.enabled"", false);",,
30,1,セキュリティ,ローカルファイルの読み込みの可否,○,特定サイトのみ許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","pref(""capability.policy.trusted.sites"", ""(sites)"");
pref(""capability.policy.trusted.checkloaduri.enabled"", ""allAccess"");
または
pref(""extensions.autopermission.policy.trusted.sites"", ""(sites)"");
pref(""extensions.autopermission.policy.trusted.localfilelinks"",     1);",,
30,2,,,,禁止する（既定）,-,-,,
31,1,セキュリティ,ローカルファイルからの他ディレクトリの参照の可否,-,許可する,MCDで設定を反映する,"lockPref(""security.fileuri.strict_origin_policy"", false);",,
31,2,,,,禁止する（既定）,MCDで設定を反映する,"lockPref(""security.fileuri.strict_origin_policy"", true);",,
32,1,セキュリティ,その他、バックグラウンドで行われる外部への通信の可否,-,許可する（既定）,-,-,,
32,2,,,,禁止する,MCDで設定を反映する,"// プラグインのブロック時などの詳細説明のURL
lockPref(""app.support.baseURL"", """");
// Webサイトの互換性情報のURL
lockPref(""breakpad.reportURL"", """");
// about:homeに表示するアドバイス情報の取得元URL
lockPref(""browser.aboutHomeSnippets.updateUrl"", """");
// Webフィード用のサービス
lockPref(""browser.contentHandlers.types.0.uri"", """");
lockPref(""browser.contentHandlers.types.1.uri"", """");
pref(""browser.contentHandlers.types.2.uri"", """");
pref(""browser.contentHandlers.types.3.uri"", """");
pref(""browser.contentHandlers.types.4.uri"", """");
pref(""browser.contentHandlers.types.5.uri"", """");
// IRC用のサービス
lockPref(""gecko.handlerService.schemes.irc.0.uriTemplate"", """");
pref(""gecko.handlerService.schemes.irc.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.irc.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.irc.3.uriTemplate"", """");
lockPref(""gecko.handlerService.schemes.ircs.0.uriTemplate"", """");
pref(""gecko.handlerService.schemes.ircs.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.ircs.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.ircs.3.uriTemplate"", """");
// メール用のサービス
lockPref(""gecko.handlerService.schemes.mailto.0.uriTemplate"", """");
lockPref(""gecko.handlerService.schemes.mailto.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.mailto.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.mailto.3.uriTemplate"", """");
// カレンダー用のサービス
lockPref(""gecko.handlerService.schemes.webcal.0.uriTemplate"", """");
pref(""gecko.handlerService.schemes.webcal.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.webcal.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.webcal.3.uriTemplate"", """");
// オートコレクト用辞書の取得先URL
lockPref(""browser.dictionaries.download.url"", """");
// 位置情報サービスの説明用URL
lockPref(""browser.geolocation.warning.infoURL"", """");
// 位置情報をWi-Fiアクセスポイントから取得するためのURL
lockPref(""geo.wifi.uri"", """");
// SSLの有無が混在しているページでの警告文のURL
lockPref(""browser.mixedcontent.warning.infoURL"", """");
// 検索プロバイダ（検索エンジン）の取得元URL
lockPref(""browser.search.searchEnginesURL"", """");
// 検索で使用する地域情報の取得元URL
lockPref(""browser.search.geoip.url"","""");
// Firefoxのユーザー評価
lockPref(""browser.selfsupport.url"", """");
// Webアプリケーションのインストールを許可するドメイン
lockPref(""dom.mozApps.signed_apps_installable_from"", """");
// 初回起動時のみのスタートページ
lockPref(""startup.homepage_welcome_url"", """");
// クラッシュレポーターの関連情報
lockPref(""toolkit.crashreporter.infoURL"", """");
// 開発者ツールからの外部サイト参照の無効化
lockPref(""devtools.gcli.jquerySrc"", """");
lockPref(""devtools.gcli.lodashSrc"", """");
lockPref(""devtools.gcli.underscoreSrc"", """");
lockPref(""devtools.webide.adbAddonURL"", """");
lockPref(""devtools.webide.addonsURL"", """");
lockPref(""devtools.webide.simulatorAddonsURL"", """");
lockPref(""devtools.webide.templatesURL"", """");
// 実験的機能の案内の無効化
lockPref(""experiments.manifest.uri"", """");
// Cisco製OpenH264プラグインなど、Gecko Media Pluginsのダウンロードおよび自動更新の無効化
lockPref(""media.eme.enabled"",false);
lockPref(""media.gmp-gmpopenh264.enabled"",false);
lockPref(""media.gmp-gmpopenh264.autoupdate"",false);
lockPref(""media.gmp-eme-adobe.enabled"",false);
lockPref(""media.gmp-eme-adobe.autoupdate"",false);
lockPref(""media.gmp-provider.enabled"",false);
lockPref(""media.gmp-manager.url"",""about:blank"");
// ツールバーカスタマイズの方法を説明するページへの誘導の無効化
lockPref(""browser.customizemode.tip0.learnMoreUrl"", """");
// 新規タブを開いた時のページにおけるタイル情報の取得、統計情報収集用通信の無効化
lockPref(""browser.newtab.url"",""about:blank"");
lockPref(""browser.newtabpage.directory.ping"","""");
lockPref(""browser.newtabpage.directory.source"","""");",,
33,1,セキュリティ,フルスクリーン表示の可否,○,確認の上で許可する（既定）,MCDで設定を反映する,"lockPref(""full-screen-api.enabled"", true);",,
33,2,,,,特定サイトのみ確認なしで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""fullscreen=1"");",,
33,3,,,,禁止する,MCDで設定を反映する,"lockPref(""full-screen-api.enabled"", false);",,
34,1,プライバシー,履歴の保存の可否,-,保存する（既定）,-,-,,
34,2,,,,保存を強制する,"1. アドオン「History Prefs Modifier」を導入する
2. MCDで設定を反映する
3. アドオン「globalChrome.css」を導入する
4. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.privatebrowsing.autostart"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #privateBrowsingAutoStart {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.privatebrowsing.autostart"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #privateBrowsingAutoStart {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
34,3,,,,一切保存しない,"1. アドオン「History Prefs Modifier」を導入する
2. MCDで設定を反映する","lockPref(""browser.privatebrowsing.autostart"", true);",変更無し,"lockPref(""browser.privatebrowsing.autostart"", true);"
35,1,プライバシー,"フォームの入力履歴の保存の可否
（Webページ上のフォーム要素、およびWeb検索バーのオートコンプリート機能の無効化）",-,保存する（既定）,MCDで設定を反映する,"lockPref(""browser.formfill.enable"", true);",変更無し,"lockPref(""browser.formfill.enable"", true);"
35,2,,,,保存しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.formfill.enable"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #rememberForms {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.formfill.enable"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #rememberForms {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
36,1,プライバシー,ダウンロード履歴の保存の可否,-,永続的に保存する（既定）,-,-,廃止,"lockPref(""browser.download.manager.retention"", 2);"
36,2,,,,終了するまで保存する,MCDで設定を反映する,Firefox 31の時点で廃止,廃止,"lockPref(""browser.download.manager.retention"", 1);"
36,3,,,,保存しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","Firefox 31の時点で廃止（通常の閲覧履歴と併せて保存しないようにする設定で代替）

MCD:
lockPref(""places.history.enabled"", false);","廃止（通常の閲覧履歴と併せて保存しないようにする設定で代替）

MCD:
lockPref(""places.history.enabled"", false);","MCD:
lockPref(""browser.download.manager.retention"", 0);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #rememberDownloads {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
37,1,プライバシー,ロケーションバーの入力履歴の表示の可否,-,表示する（既定）,MCDで設定を反映する,"lockPref(""browser.urlbar.autocomplete.enabled"", true);",変更無し,"lockPref(""browser.urlbar.autocomplete.enabled"", true);"
37,2,,,,表示しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.urlbar.autocomplete.enabled"", false);
lockPref(""browser.urlbar.maxRichResults"", -1);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #locationBarGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.urlbar.autocomplete.enabled"", false);
lockPref(""browser.urlbar.maxRichResults"", -1);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #locationBarGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
38,1,プライバシー,パスワードの保存の可否,○,確認の上で保存する（既定）,MCDで設定を反映する,"lockPref(""signon.rememberSignons"", true);",変更無し,"lockPref(""signon.rememberSignons"", true);"
