設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 45）,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
Install-7,2,,,,指定バージョンを同梱する,resources以下にインストーラを同梱,-,-,,
Install-8,1,インストール,Firefox/Thunderbirdのインストール先,-,既定のインストール先（既定）,-,,-,,
Install-8,2,,,,任意のインストール先,Firefox-setup.ini/Thunderbird-setup.iniを編集する,,"[Install]
InstallDirectoryName=
InstallDirectoryPath=",,
Install-9,1,インストール,メタインストーラの表示バージョン,-,指定しない（規定）,-,,-,,
Install-9,2,,,,指定する,fainstall.iniを編集する,,"[Install]
DisplayVersion=バージョン番号",,
Application-1,1,特定用途専用アプリケーションとしての利用,デスクトップのショートカット,-,既定の内容で作成（既定）,-,-,-,,
Application-1,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
DesktopShortcut=false","[Install]
DesktopShortcut=false",,
Application-1,3,,,,任意の内容で作成,"1. Firefox-setup.ini/Thunderbird-setup.iniを編集する
2. fainstall.iniを編集する","Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
DesktopShortcut=false

fainstall.ini:
[fainstall]
Shortcuts=desktop-shortcut

[desktop-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/","Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
DesktopShortcut=false

fainstall.ini:
[fainstall]
Shortcuts=desktop-shortcut

[desktop-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,
Application-2,1,特定用途専用アプリケーションとしての利用,スタートメニューのショートカット,-,既定の内容で作成（既定）,-,-,-,,
Application-2,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
StartMenuShortcuts=false","[Install]
StartMenuShortcuts=false",,
Application-2,3,,,,任意の内容で作成,"1.Firefox-setup.ini/Thunderbird-setup.iniを編集する
2.fainstall.iniを編集する","Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
StartMenuShortcuts=false

fainstall.ini:
[fainstall]
Shortcuts=startmenu-name

[startmenu-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/ProgramData/Microsoft/Windows/Start Menu/Programs","Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
StartMenuShortcuts=false

fainstall.ini:
[fainstall]
Shortcuts=startmenu-name

[startmenu-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/ProgramData/Microsoft/Windows/Start Menu/Programs",,
Application-3,1,特定用途専用アプリケーションとしての利用,クイック起動のショートカット,-,既定の内容で作成（既定）,-,-,-,,
Application-3,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
QuickLaunchShortcut=false","[Install]
QuickLaunchShortcut=false",,
Application-4,1,特定用途専用アプリケーションとしての利用,メインウィンドウのタイトル,-,既定の名前（既定）,-,,-,,
Application-4,2,,,,任意の内容,"1. アドオン「UI Text Overrider」を導入する
2. MCDで設定を反映する",,"var title = ""タイトル"";
lockPref(""extensions.uitextoverrider@clear-code.com.main-window"", "":root#main-window"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_privatebrowsing"", title + ""（プライベートブラウジング）"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_privatebrowsing"", title + ""（プライベートブラウジング）"");",,
Appliaction-5,1,特定用途専用アプリケーションとしての利用,メインウィンドウのアイコン,-,既定のアイコン（既定）,-,,-,,
Appliaction-5,2,,,,任意のアイコン,アイコンをresources/main-window.icoの位置に置く,,-,,
Application-6,1,特定用途専用アプリケーションとしての利用,プロファイルの位置,-,%AppData%内（既定）,-,,-,,
Application-6,2,,,,任意の位置,fainstall.iniを編集する,,"以下は設定例。作成するショートカットの数、位置、プロファイルの設置場所についてはその都度指定が必要。

[fainstall]
Shortcuts=desktop-shortcut

[profile]
TargetUser=all
Name=NameOfProfile
RootPath=X:/Path/To/RootDir

[desktop-shortcut]
Name=""Mozilla Firefox""
Path=%AppDir%/firefox.exe
Options=-profile X:\Path\To\RootDir\Profiles\NameOfProfile
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,
Application-7,1,ブランディング,ノーブランド化,-,しない（オフィシャル版を使用）,,,,,
Application-7,2,,,,表示上の名称のみ変更する,"1. 所定の手順に則り、言語リソースとブランディング関連リソースを修正する
2. ビルドする",,長いブランド名、短いブランド名を指定,,
Application-7,3,,,,内部名も含めて変更する,"1. 所定の手順に則り、言語リソース、ブランディング関連リソース、動作上の内部名を定義している箇所を修正する
2. ビルドする",,長いブランド名、短いブランド名を指定,,
Admin-1,1,管理者による設定,管理者による設定の制御,-,ローカルのファイルで設定する,"1. default/autoconfig.jsに設定を反映する
2. autoconfig.cfgに設定を反映する","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…",変更無し,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…"
Admin-1,2,,,,リモートのファイルで設定する,"1. default/autoconfig.jsに設定を反映する
2. autoconfig.cfgに設定を反映する
3. リモートに設定ファイルautoconfig.jscを設置する","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…",変更無し,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…"
Admin-1,3,,,,設定しない（既定）,-,-,-,変更無し,-
Admin-2,1,管理者によるアドオン導入,初回起動時のアドオン導入警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""extensions.autoDisableScopes"", 15);","lockPref(""extensions.autoDisableScopes"", 15);",変更無し,"lockPref(""extensions.autoDisableScopes"", 15);"
Admin-2,2,,,,警告しない,MCDで設定を反映する,"lockPref(""extensions.autoDisableScopes"", 11);","lockPref(""extensions.autoDisableScopes"", 11);",変更無し,"lockPref(""extensions.autoDisableScopes"", 11);"
Admin-3,1,管理者によるアドオン導入,Firefoxバージョンアップ時のアドオン更新確認の可否,-,確認する（既定）,MCDで設定を反映する,"lockPref(""extensions.shownSelectionUI"", false);","lockPref(""extensions.shownSelectionUI"", false);",変更無し,"lockPref(""extensions.shownSelectionUI"", false);"
Admin-3,2,,,,確認しない,MCDで設定を反映する,"lockPref(""extensions.shownSelectionUI"", true);","lockPref(""extensions.shownSelectionUI"", true);",変更無し,"lockPref(""extensions.shownSelectionUI"", true);"
Admin-4,1,管理者によるアドオン導入,Mozillaにより署名されていないアドオンのインストールパッケージの使用の可否,-,許可する,MCDで設定を反映する,"lockPref(""xpinstall.signatures.required"", false);",,,
Admin-4,2,,,,禁止する（規定）,MCDで設定を反映する,"lockPref(""xpinstall.signatures.required"", true);",,,
Security-1,1,セキュリティ,独自のルート証明書をあらかじめ導入しておく,-,導入する,"1. アドオン「Cert Importer」を導入する
2. アドオン「Auto Confirm」を導入する
3. MCDで設定を反映する","// Cert Importer
lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);

// Auto Confirm
function autoConfirmImport(aCertName) {
  var base = ""extensions.auto-confirm@myokoym.net.general.auto-import-"" + aCertName.replace(/\./g, '_');
  lockPref(base + "".url"", ""chrome://pippki/content/downloadcert.xul"");
  lockPref(base + "".text"", unescape(encodeURIComponent(""\"""" + aCertName + ""\"" が行う認証のうち、信頼するものを選択してください。"")));
  lockPref(base + "".actions"", unescape(encodeURIComponent(""[\""check;この認証局による Web サイトの識別を信頼する\"",\""check;この認証局によるメールユーザの識別を信頼する\"",\""check;この認証局によるソフトウェア製作者の識別を信頼する\"",\""accept\""]"")));
}
autoConfirmImport(""(証明書の名前)"");","lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);",変更無し,"lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);"
Security-1,2,,,,導入しない（既定）,-,-,-,,
Security-2,1,セキュリティ,独自のルート証明書の自動再登録の可否,-,自動的に再登録する,"1. アドオン「Cert Importer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.certimporter.allowRegisterAgain"", true);","lockPref(""extensions.certimporter.allowRegisterAgain"", true);",変更無し,"lockPref(""extensions.certimporter.allowRegisterAgain"", true);"
Security-2,2,,,,自動的に再登録しない（既定）,"1. アドオン「Cert Importer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.certimporter.allowRegisterAgain"", false);","lockPref(""extensions.certimporter.allowRegisterAgain"", false);",変更無し,"lockPref(""extensions.certimporter.allowRegisterAgain"", false);"
Security-3,1,セキュリティ,アドオンのインストールの可否,○,確認の上で許可する（既定）,-,-,-,,
Security-3,2,,,,特定サイトのみ許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する",-,-,,
Security-3,3,,,,禁止する,"1. アドオン「Disable Addons」を導入する
2. アドオン「Permission Auto Registerer」を導入する
3. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.addons.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.update.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.getpersonas.com"", ""install=0"");","lockPref(""extensions.autopermission.sites.addons.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.update.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.getpersonas.com"", ""install=0"");",,
Security-3,4,,,,禁止するが、設定の変更は許可する,"1. アドオン「Disable Addons」を導入する
2. MCDで設定を反映する","lockPref(""extensions.disableaddons@clear-code.com.disable.manager"", false);","lockPref(""extensions.disableaddons@clear-code.com.disable.manager"", false);",,
Security-4,1,セキュリティ,広告などのポップアップの表示の可否,○,確認の上で許可する（既定）,-,-,,,
Security-4,2,,,,特定サイトのみ確認無しで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""popup=1"");","lockPref(""extensions.autopermission.sites.(site)"", ""popup=1"");",,
Security-4,3,,,,すべて確認無しで許可する,MCDで設定を反映する,"lockPref(""dom.disable_open_during_load"", false);","lockPref(""dom.disable_open_during_load"", false);",変更無し,"lockPref(""dom.disable_open_during_load"", false);"
Security-4,4,,,,禁止する,-,"MCDで
lockPref(""dom.disable_open_during_load"", true);
と設定した上で、「UI・キーボードショートカット無効化項目一覧」に従いUIを無効化","MCDで
lockPref(""dom.disable_open_during_load"", true);
と設定した上で、「UI・キーボードショートカット無効化項目一覧」に従いUIを無効化",変更無し,"lockPref(""dom.disable_open_during_load"", true);"
Security-5,1,セキュリティ,攻撃サイトに対する警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""browser.safebrowsing.malware.enabled"", true);","lockPref(""browser.safebrowsing.malware.enabled"", true);",変更無し,"lockPref(""browser.safebrowsing.malware.enabled"", true);"
Security-5,2,,,,警告しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.safebrowsing.malware.enabled"", false);
lockPref(""browser.safebrowsing.gethashURL"", """");
lockPref(""browser.safebrowsing.malware.reportURL"", """");
lockPref(""browser.safebrowsing.reportErrorURL"", """");
lockPref(""browser.safebrowsing.reportGenericURL"", """");
lockPref(""browser.safebrowsing.reportMalwareErrorURL"", """");
lockPref(""browser.safebrowsing.reportMalwareURL"", """");
lockPref(""browser.safebrowsing.reportPhishURL"", """");
lockPref(""browser.safebrowsing.reportURL"", """");
lockPref(""browser.safebrowsing.updateURL"", """");
lockPref(""browser.safebrowsing.appRepURL"", """");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addonsPhishingGroup,
  #blockAttackSites {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}","MCD:
lockPref(""browser.safebrowsing.malware.enabled"", false);
lockPref(""browser.safebrowsing.gethashURL"", """");
lockPref(""browser.safebrowsing.malware.reportURL"", """");
lockPref(""browser.safebrowsing.reportErrorURL"", """");
lockPref(""browser.safebrowsing.reportGenericURL"", """");
lockPref(""browser.safebrowsing.reportMalwareErrorURL"", """");
lockPref(""browser.safebrowsing.reportMalwareURL"", """");
lockPref(""browser.safebrowsing.reportPhishURL"", """");
lockPref(""browser.safebrowsing.reportURL"", """");
lockPref(""browser.safebrowsing.updateURL"", """");
lockPref(""browser.safebrowsing.appRepURL"", """");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addonsPhishingGroup,
  #blockAttackSites {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.safebrowsing.malware.enabled"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #addonsPhishingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
Security-6,1,セキュリティ,偽装サイトに対する警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""browser.safebrowsing.enabled"", true);","lockPref(""browser.safebrowsing.enabled"", true);",変更無し,"lockPref(""browser.safebrowsing.enabled"", true);"
Security-6,2,,,,警告しない,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""browser.safebrowsing.enabled"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addonsPhishingGroup,
  #blockWebForgeries {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}","MCD:
lockPref(""browser.safebrowsing.enabled"", false);

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #addonsPhishingGroup,
  #blockWebForgeries {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""browser.safebrowsing.enabled"", false);

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/preferences.xul"") {
  #addonsPhishingGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
Security-7,1,セキュリティ,プラグインのインストールの可否,-,許可する（既定）,-,-,-,,
Security-7,2,,,,一切禁止する,MCDで設定を反映する,-（Firefox 38で廃止）,"/*
プラグインのインストール機能自体が廃止されたため、設定自体が不要となっている。
https://wiki.mozilla.org/PFS
https://bugzilla.mozilla.org/show_bug.cgi?id=836415
http://hg.mozilla.org/mozilla-central/rev/d1ae4274cf8b
*/
// プラグインのインストール情報、更新情報の取得元URL
lockPref(""pfs.datasource.url"", """");
lockPref(""plugins.update.url"", """");
lockPref(""plugins.hide_infobar_for_missing_plugin"", true);",変更無し,"lockPref(""plugins.hide_infobar_for_missing_plugin"", true);
lockPref(""plugins.hide_infobar_for_outdated_plugin"", true);"
Security-8,1,セキュリティ,about:***の利用の可否,-,許可する（既定）,-,-,-,,
Security-8,2,,,,禁止する,"1. アドオン「Disable About Something」を導入する
2. MCDで設定を反映する","lockPref(""extensions.disable-about-something@clear-code.com.about.（サフィックス）"",  false);","lockPref(""extensions.disable-about-something@clear-code.com.about.（サフィックス）"",  false);",変更無し,"lockPref(""extensions.disable-about-something@clear-code.com.about.（サフィックス）"",  false);"
Security-9,1,セキュリティ,about:configの利用の可否,-,許可する（既定）,-,-,-,,
Security-9,2,,,,禁止する,アドオン「Disable about:config」を導入する,-,-,変更無し,-
Security-10,1,セキュリティ,エラーコンソールの利用の可否,-,許可する,MCDで設定を反映する,"lockPref(""devtools.errorconsole.enabled"", true);","lockPref(""devtools.errorconsole.enabled"", true);",変更無し,"lockPref(""devtools.errorconsole.enabled"", true);"
Security-10,2,,,,禁止する（既定）,MCDで設定を反映する,"lockPref(""devtools.errorconsole.enabled"", false);","lockPref(""devtools.errorconsole.enabled"", false);",変更無し,"lockPref(""devtools.errorconsole.enabled"", false);"
Security-11,1,セキュリティ,SNS連携機能の利用の可否,-,許可する（既定）,-,,-,,
Security-11,2,,,,禁止する,MCDで設定を反映する,,"lockPref(""social.activeProviders"", """");
lockPref(""social.directories"", """");
lockPref(""social.whitelist"", """");
lockPref(""social.shareDirectory"", """");",,
Security-12,1,セキュリティ,JavaScriptの実行の可否,○,許可する（既定）,MCDで設定を反映する,,"lockPref(""javascript.enabled"", true);",,
Security-12,2,,,,特定サイトのみ許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する",,"pref(""capability.policy.trusted.sites"", ""(sites)"");
pref(""capability.policy.trusted.javascript.enabled"", ""allAccess"");
または
pref(""extensions.autopermission.policy.trusted.sites"", ""(sites)"");
pref(""extensions.autopermission.policy.trusted.javascript"",     1);",,
Security-12,3,,,,禁止する,MCDで設定を反映する,,"lockPref(""javascript.enabled"", false);",,
Security-13,1,セキュリティ,ローカルファイルの読み込みの可否,○,特定サイトのみ許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する",,"pref(""capability.policy.trusted.sites"", ""(sites)"");
pref(""capability.policy.trusted.checkloaduri.enabled"", ""allAccess"");
または
pref(""extensions.autopermission.policy.trusted.sites"", ""(sites)"");
pref(""extensions.autopermission.policy.trusted.localfilelinks"",     1);",,
Security-13,2,,,,禁止する（既定）,-,,-,,
Security-14,1,セキュリティ,ローカルファイルからの他ディレクトリの参照の可否,-,許可する,MCDで設定を反映する,,"lockPref(""security.fileuri.strict_origin_policy"", false);",,
Security-14,2,,,,禁止する（既定）,MCDで設定を反映する,,"lockPref(""security.fileuri.strict_origin_policy"", true);",,
Security-15,1,セキュリティ,その他、バックグラウンドで行われる外部への通信の可否,-,許可する（既定）,-,,-,,
Security-15,2,,,,禁止する,MCDで設定を反映する,,"// プラグインのブロック時などの詳細説明のURL
lockPref(""app.support.baseURL"", """");
// Webサイトの互換性情報のURL
lockPref(""breakpad.reportURL"", """");
// about:homeに表示するアドバイス情報の取得元URL
lockPref(""browser.aboutHomeSnippets.updateUrl"", """");
// Webフィード用のサービス
lockPref(""browser.contentHandlers.types.0.uri"", """");
lockPref(""browser.contentHandlers.types.1.uri"", """");
pref(""browser.contentHandlers.types.2.uri"", """");
pref(""browser.contentHandlers.types.3.uri"", """");
pref(""browser.contentHandlers.types.4.uri"", """");
pref(""browser.contentHandlers.types.5.uri"", """");
// IRC用のサービス
lockPref(""gecko.handlerService.schemes.irc.0.uriTemplate"", """");
pref(""gecko.handlerService.schemes.irc.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.irc.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.irc.3.uriTemplate"", """");
lockPref(""gecko.handlerService.schemes.ircs.0.uriTemplate"", """");
pref(""gecko.handlerService.schemes.ircs.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.ircs.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.ircs.3.uriTemplate"", """");
// メール用のサービス
lockPref(""gecko.handlerService.schemes.mailto.0.uriTemplate"", """");
lockPref(""gecko.handlerService.schemes.mailto.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.mailto.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.mailto.3.uriTemplate"", """");
// カレンダー用のサービス
lockPref(""gecko.handlerService.schemes.webcal.0.uriTemplate"", """");
pref(""gecko.handlerService.schemes.webcal.1.uriTemplate"", """");
pref(""gecko.handlerService.schemes.webcal.2.uriTemplate"", """");
pref(""gecko.handlerService.schemes.webcal.3.uriTemplate"", """");
// オートコレクト用辞書の取得先URL
lockPref(""browser.dictionaries.download.url"", """");
// 位置情報サービスの説明用URL
lockPref(""browser.geolocation.warning.infoURL"", """");
// 位置情報をWi-Fiアクセスポイントから取得するためのURL
lockPref(""geo.wifi.uri"", """");
// 検索プロバイダ（検索エンジン）の取得元URL
lockPref(""browser.search.searchEnginesURL"", """");
// 検索で使用する地域情報の取得元URL
lockPref(""browser.search.geoip.url"","""");
// Firefoxのユーザー評価
lockPref(""browser.selfsupport.url"", """");
// Webアプリケーションのインストールを許可するドメイン
lockPref(""dom.mozApps.signed_apps_installable_from"", """");
// 初回起動時のみのスタートページ
lockPref(""startup.homepage_welcome_url"", """");
// クラッシュレポーターの関連情報
lockPref(""toolkit.crashreporter.infoURL"", """");
// 開発者ツールからの外部サイト参照の無効化
lockPref(""devtools.gcli.jquerySrc"", """");
lockPref(""devtools.gcli.lodashSrc"", """");
lockPref(""devtools.gcli.underscoreSrc"", """");
lockPref(""devtools.webide.adbAddonURL"", """");
lockPref(""devtools.webide.addonsURL"", """");
lockPref(""devtools.webide.simulatorAddonsURL"", """");
lockPref(""devtools.webide.templatesURL"", """");
// 実験的機能の案内の無効化
lockPref(""experiments.manifest.uri"", """");
// Cisco製OpenH264プラグインなど、Gecko Media Pluginsのダウンロードおよび自動更新の無効化
lockPref(""media.eme.enabled"",false);
lockPref(""media.gmp-gmpopenh264.enabled"",false);
lockPref(""media.gmp-gmpopenh264.autoupdate"",false);
lockPref(""media.gmp-eme-adobe.enabled"",false);
lockPref(""media.gmp-eme-adobe.autoupdate"",false);
lockPref(""media.gmp-provider.enabled"",false);
lockPref(""media.gmp-manager.url"",""about:blank"");
// ツールバーカスタマイズの方法を説明するページへの誘導の無効化
lockPref(""browser.customizemode.tip0.learnMoreUrl"", """");
// 新規タブを開いた時のページにおけるタイル情報の取得、統計情報収集用通信の無効化
lockPref(""browser.newtab.url"",""about:blank"");
lockPref(""browser.newtabpage.directory.ping"","""");
lockPref(""browser.newtabpage.directory.source"","""");",,
Security-16,1,セキュリティ,フルスクリーン表示の可否,○,確認の上で許可する（既定）,MCDで設定を反映する,,"lockPref(""full-screen-api.enabled"", true);",,
Security-16,2,,,,特定サイトのみ確認なしで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する",,"lockPref(""extensions.autopermission.sites.(site)"", ""fullscreen=1"");",,
Security-16,3,,,,禁止する,MCDで設定を反映する,,"lockPref(""full-screen-api.enabled"", false);",,
Security-17,1,セキュリティ,about:homeからマーケットプレイスへの遷移の可否,-,許可する（規定）,-,-,-,,
Security-17,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.apps.URL"", """");","lockPref(""browser.apps.URL"", """");",,
Security-18,1,セキュリティ,ツールバーカスタマイズにおける、「その他のテーマを入手」の遷移の可否,-,許可する（規定）,-,-,-,,
Security-18,2,,,,禁止する,MCDで設定を反映する,"lockPref(""lightweightThemes.getMoreURL"", """");","lockPref(""lightweightThemes.getMoreURL"", """");",,
Security-19,1,セキュリティ,ツールバーカスタマイズにおける、テーマの「おすすめ」の取得の可否,-,許可する（規定）,-,-,-,,
Security-19,2,,,,禁止する,MCDで設定を反映する,"lockPref(""lightweightThemes.recommendedThemes"", """");","lockPref(""lightweightThemes.recommendedThemes"", """");",,
Security-20,1,セキュリティ,パーミッション設定変更の可否,-,変更を許可する（既定）,-,,,,
Security-20,2,,,,変更を禁止する,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #identity-popup-permissions-content,
  #identity-popup-securityView-body button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}
@-moz-document url-prefix(""chrome://browser/content/pageinfo/pageInfo.xul"") {
  #permTab,
  #permPanel {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,,
